Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.78524000E+02	-2.85469855E+01	-4.11404792E+01	-6.38037713E+01	-8.90268296E+01	-5.11923403E+01	-4.17769433E+01	
-1.78488000E+02	-2.85769720E+01	-4.11511539E+01	-6.34542549E+01	-8.90246440E+01	-5.12115753E+01	-4.17753446E+01	
-1.78452000E+02	-2.86070886E+01	-4.11618774E+01	-6.31069964E+01	-8.90223170E+01	-5.12308363E+01	-4.17737629E+01	
-1.78416000E+02	-2.86373109E+01	-4.11726808E+01	-6.27622338E+01	-8.90198451E+01	-5.12501165E+01	-4.17721825E+01	
-1.78380000E+02	-2.86676255E+01	-4.11835123E+01	-6.24200900E+01	-8.90172279E+01	-5.12694281E+01	-4.17706083E+01	
-1.78344000E+02	-2.86980289E+01	-4.11943999E+01	-6.20807384E+01	-8.90144713E+01	-5.12887676E+01	-4.17690432E+01	
-1.78308000E+02	-2.87285381E+01	-4.12053763E+01	-6.17443253E+01	-8.90115920E+01	-5.13081294E+01	-4.17674867E+01	
-1.78272000E+02	-2.87591487E+01	-4.12164126E+01	-6.14109503E+01	-8.90085459E+01	-5.13275232E+01	-4.17659402E+01	
-1.78236000E+02	-2.87898407E+01	-4.12275337E+01	-6.10807202E+01	-8.90053646E+01	-5.13469338E+01	-4.17643997E+01	
-1.78200000E+02	-2.88206482E+01	-4.12386653E+01	-6.07537245E+01	-8.90020251E+01	-5.13663685E+01	-4.17628664E+01	
-1.78164000E+02	-2.88515253E+01	-4.12499105E+01	-6.04300355E+01	-8.89985723E+01	-5.13858348E+01	-4.17613453E+01	
-1.78128000E+02	-2.88825288E+01	-4.12611938E+01	-6.01097345E+01	-8.89949575E+01	-5.14053277E+01	-4.17598309E+01	
-1.78092000E+02	-2.89135989E+01	-4.12725509E+01	-5.97928015E+01	-8.89912162E+01	-5.14248463E+01	-4.17583239E+01	
-1.78056000E+02	-2.89447838E+01	-4.12839608E+01	-5.94793321E+01	-8.89873282E+01	-5.14443895E+01	-4.17568274E+01	
-1.78020000E+02	-2.89760482E+01	-4.12954245E+01	-5.91693210E+01	-8.89832798E+01	-5.14639580E+01	-4.17553348E+01	
-1.77984000E+02	-2.90074195E+01	-4.13069338E+01	-5.88627881E+01	-8.89791099E+01	-5.14835544E+01	-4.17538516E+01	
-1.77948000E+02	-2.90389091E+01	-4.13185170E+01	-5.85597372E+01	-8.89747873E+01	-5.15031737E+01	-4.17523769E+01	
-1.77912000E+02	-2.90704891E+01	-4.13301882E+01	-5.82601709E+01	-8.89703420E+01	-5.15228213E+01	-4.17509128E+01	
-1.77876000E+02	-2.91021366E+01	-4.13419092E+01	-5.79640937E+01	-8.89657322E+01	-5.15424951E+01	-4.17494549E+01	
-1.77840000E+02	-2.91338895E+01	-4.13536707E+01	-5.76714671E+01	-8.89609761E+01	-5.15621927E+01	-4.17480027E+01	
-1.77804000E+02	-2.91657183E+01	-4.13655376E+01	-5.73822914E+01	-8.89561012E+01	-5.15819171E+01	-4.17465609E+01	
-1.77768000E+02	-2.91976359E+01	-4.13774230E+01	-5.70965589E+01	-8.89510826E+01	-5.16016669E+01	-4.17451294E+01	
-1.77732000E+02	-2.92296523E+01	-4.13894016E+01	-5.68141932E+01	-8.89459117E+01	-5.16214517E+01	-4.17437044E+01	
-1.77696000E+02	-2.92617405E+01	-4.14013891E+01	-5.65351884E+01	-8.89406104E+01	-5.16412569E+01	-4.17422890E+01	
-1.77660000E+02	-2.92939370E+01	-4.14134673E+01	-5.62595313E+01	-8.89351552E+01	-5.16610935E+01	-4.17408793E+01	
-1.77624000E+02	-2.93262409E+01	-4.14255653E+01	-5.59871575E+01	-8.89295723E+01	-5.16809503E+01	-4.17394801E+01	
-1.77588000E+02	-2.93585986E+01	-4.14378076E+01	-5.57180385E+01	-8.89238248E+01	-5.17008354E+01	-4.17380909E+01	
-1.77552000E+02	-2.93910641E+01	-4.14500297E+01	-5.54521158E+01	-8.89179590E+01	-5.17207501E+01	-4.17367093E+01	
-1.77516000E+02	-2.94236003E+01	-4.14623364E+01	-5.51893722E+01	-8.89119347E+01	-5.17406900E+01	-4.17353317E+01	
-1.77480000E+02	-2.94562276E+01	-4.14747377E+01	-5.49297871E+01	-8.89057959E+01	-5.17606597E+01	-4.17339649E+01	
-1.77444000E+02	-2.94889374E+01	-4.14871834E+01	-5.46732389E+01	-8.88995035E+01	-5.17806531E+01	-4.17326042E+01	
-1.77408000E+02	-2.95217355E+01	-4.14996874E+01	-5.44197664E+01	-8.88930864E+01	-5.18006771E+01	-4.17312529E+01	
-1.77372000E+02	-2.95546271E+01	-4.15122608E+01	-5.41692527E+01	-8.88865234E+01	-5.18207245E+01	-4.17299125E+01	
-1.77336000E+02	-2.95875933E+01	-4.15248809E+01	-5.39217034E+01	-8.88798090E+01	-5.18408022E+01	-4.17285731E+01	
-1.77300000E+02	-2.96206549E+01	-4.15375785E+01	-5.36770610E+01	-8.88729488E+01	-5.18609168E+01	-4.17272472E+01	
-1.77264000E+02	-2.96537714E+01	-4.15503330E+01	-5.34352375E+01	-8.88659681E+01	-5.18810436E+01	-4.17259283E+01	
-1.77228000E+02	-2.96869913E+01	-4.15631417E+01	-5.31962395E+01	-8.88588498E+01	-5.19012077E+01	-4.17246135E+01	
-1.77192000E+02	-2.97202781E+01	-4.15760122E+01	-5.29599905E+01	-8.88515768E+01	-5.19213929E+01	-4.17233184E+01	
-1.77156000E+02	-2.97536217E+01	-4.15889652E+01	-5.27264712E+01	-8.88441699E+01	-5.19416144E+01	-4.17220237E+01	
-1.77120000E+02	-2.97870867E+01	-4.16019519E+01	-5.24956025E+01	-8.88366346E+01	-5.19618566E+01	-4.17207421E+01	
-1.77084000E+02	-2.98206231E+01	-4.16149933E+01	-5.22673621E+01	-8.88289580E+01	-5.19821309E+01	-4.17194661E+01	
-1.77048000E+02	-2.98542231E+01	-4.16280820E+01	-5.20417015E+01	-8.88211527E+01	-5.20024291E+01	-4.17181961E+01	
-1.77012000E+02	-2.98878910E+01	-4.16412637E+01	-5.18185680E+01	-8.88132067E+01	-5.20227594E+01	-4.17169370E+01	
-1.76976000E+02	-2.99216672E+01	-4.16544949E+01	-5.15979208E+01	-8.88051205E+01	-5.20431173E+01	-4.17156802E+01	
-1.76940000E+02	-2.99554805E+01	-4.16677715E+01	-5.13797408E+01	-8.87969000E+01	-5.20635031E+01	-4.17144391E+01	
-1.76904000E+02	-2.99893907E+01	-4.16810995E+01	-5.11639293E+01	-8.87885389E+01	-5.20839165E+01	-4.17132087E+01	
-1.76868000E+02	-3.00233866E+01	-4.16945221E+01	-5.09504576E+01	-8.87800683E+01	-5.21043593E+01	-4.17119818E+01	
-1.76832000E+02	-3.00574299E+01	-4.17080000E+01	-5.07393670E+01	-8.87714298E+01	-5.21248316E+01	-4.17107608E+01	
-1.76796000E+02	-3.00915498E+01	-4.17215238E+01	-5.05305004E+01	-8.87626874E+01	-5.21453287E+01	-4.17095545E+01	
-1.76760000E+02	-3.01257411E+01	-4.17350744E+01	-5.03239048E+01	-8.87537926E+01	-5.21658617E+01	-4.17083489E+01	
-1.76724000E+02	-3.01600467E+01	-4.17487448E+01	-5.01194837E+01	-8.87447842E+01	-5.21864218E+01	-4.17071519E+01	
-1.76688000E+02	-3.01943869E+01	-4.17624803E+01	-4.99172254E+01	-8.87356269E+01	-5.22070066E+01	-4.17059676E+01	
-1.76652000E+02	-3.02287804E+01	-4.17762354E+01	-4.97170966E+01	-8.87263387E+01	-5.22276233E+01	-4.17047834E+01	
-1.76616000E+02	-3.02632694E+01	-4.17900658E+01	-4.95190491E+01	-8.87169373E+01	-5.22482674E+01	-4.17036091E+01	
-1.76580000E+02	-3.02978011E+01	-4.18039321E+01	-4.93230553E+01	-8.87073955E+01	-5.22689387E+01	-4.17024500E+01	
-1.76544000E+02	-3.03324026E+01	-4.18178644E+01	-4.91290571E+01	-8.86977173E+01	-5.22896405E+01	-4.17012972E+01	
-1.76508000E+02	-3.03671105E+01	-4.18318677E+01	-4.89370345E+01	-8.86879203E+01	-5.23103723E+01	-4.17001526E+01	
-1.76472000E+02	-3.04018619E+01	-4.18459279E+01	-4.87469731E+01	-8.86779968E+01	-5.23311332E+01	-4.16990208E+01	
-1.76436000E+02	-3.04366495E+01	-4.18600328E+01	-4.85588320E+01	-8.86679327E+01	-5.23519247E+01	-4.16978900E+01	
-1.76400000E+02	-3.04715367E+01	-4.18742216E+01	-4.83725439E+01	-8.86577485E+01	-5.23727480E+01	-4.16967740E+01	
-1.76364000E+02	-3.05064814E+01	-4.18884621E+01	-4.81880894E+01	-8.86474366E+01	-5.23936007E+01	-4.16956597E+01	
-1.76328000E+02	-3.05414721E+01	-4.19027381E+01	-4.80054485E+01	-8.86369976E+01	-5.24144855E+01	-4.16945623E+01	
-1.76292000E+02	-3.05765267E+01	-4.19170954E+01	-4.78246064E+01	-8.86264386E+01	-5.24353963E+01	-4.16934646E+01	
-1.76256000E+02	-3.06116396E+01	-4.19315032E+01	-4.76455124E+01	-8.86157634E+01	-5.24563382E+01	-4.16923785E+01	
-1.76220000E+02	-3.06468061E+01	-4.19459472E+01	-4.74681182E+01	-8.86049583E+01	-5.24773121E+01	-4.16912998E+01	
-1.76184000E+02	-3.06820427E+01	-4.19604880E+01	-4.72924415E+01	-8.85940210E+01	-5.24983138E+01	-4.16902282E+01	
-1.76148000E+02	-3.07173534E+01	-4.19750882E+01	-4.71184230E+01	-8.85829635E+01	-5.25193484E+01	-4.16891648E+01	
-1.76112000E+02	-3.07526990E+01	-4.19897388E+01	-4.69460503E+01	-8.85717819E+01	-5.25404108E+01	-4.16881117E+01	
-1.76076000E+02	-3.07881004E+01	-4.20044031E+01	-4.67752834E+01	-8.85604774E+01	-5.25615014E+01	-4.16870698E+01	
-1.76040000E+02	-3.08235567E+01	-4.20191405E+01	-4.66060990E+01	-8.85490565E+01	-5.25826189E+01	-4.16860370E+01	
-1.76004000E+02	-3.08590696E+01	-4.20339590E+01	-4.64384239E+01	-8.85375183E+01	-5.26037809E+01	-4.16850023E+01	
-1.75968000E+02	-3.08946642E+01	-4.20488361E+01	-4.62723359E+01	-8.85258655E+01	-5.26249641E+01	-4.16839826E+01	
-1.75932000E+02	-3.09302809E+01	-4.20637269E+01	-4.61077677E+01	-8.85140744E+01	-5.26461757E+01	-4.16829691E+01	
-1.75896000E+02	-3.09659438E+01	-4.20786712E+01	-4.59446559E+01	-8.85021837E+01	-5.26674286E+01	-4.16819624E+01	
-1.75860000E+02	-3.10016622E+01	-4.20936856E+01	-4.57829847E+01	-8.84901481E+01	-5.26887063E+01	-4.16809656E+01	
-1.75824000E+02	-3.10374165E+01	-4.21087682E+01	-4.56227714E+01	-8.84780304E+01	-5.27100148E+01	-4.16799771E+01	
-1.75788000E+02	-3.10732352E+01	-4.21238922E+01	-4.54639616E+01	-8.84657847E+01	-5.27313511E+01	-4.16789959E+01	
-1.75752000E+02	-3.11091096E+01	-4.21390813E+01	-4.53065610E+01	-8.84534328E+01	-5.27527247E+01	-4.16780236E+01	
-1.75716000E+02	-3.11450436E+01	-4.21543301E+01	-4.51504989E+01	-8.84409502E+01	-5.27741316E+01	-4.16770588E+01	
-1.75680000E+02	-3.11809785E+01	-4.21696384E+01	-4.49957941E+01	-8.84283528E+01	-5.27955670E+01	-4.16761063E+01	
-1.75644000E+02	-3.12169648E+01	-4.21849852E+01	-4.48424318E+01	-8.84156648E+01	-5.28170379E+01	-4.16751596E+01	
-1.75608000E+02	-3.12529876E+01	-4.22004103E+01	-4.46903664E+01	-8.84028575E+01	-5.28385357E+01	-4.16742175E+01	
-1.75572000E+02	-3.12891132E+01	-4.22158416E+01	-4.45395835E+01	-8.83899197E+01	-5.28600658E+01	-4.16732884E+01	
-1.75536000E+02	-3.13252186E+01	-4.22313467E+01	-4.43900621E+01	-8.83768832E+01	-5.28816311E+01	-4.16723617E+01	
-1.75500000E+02	-3.13613934E+01	-4.22468784E+01	-4.42417990E+01	-8.83637524E+01	-5.29032207E+01	-4.16714479E+01	
-1.75464000E+02	-3.13975938E+01	-4.22624894E+01	-4.40947609E+01	-8.83504913E+01	-5.29248552E+01	-4.16705395E+01	
-1.75428000E+02	-3.14338292E+01	-4.22781857E+01	-4.39489157E+01	-8.83371166E+01	-5.29465102E+01	-4.16696451E+01	
-1.75392000E+02	-3.14701164E+01	-4.22939064E+01	-4.38042806E+01	-8.83236665E+01	-5.29682062E+01	-4.16687494E+01	
-1.75356000E+02	-3.15064427E+01	-4.23096681E+01	-4.36608071E+01	-8.83100930E+01	-5.29899322E+01	-4.16678645E+01	
-1.75320000E+02	-3.15427980E+01	-4.23254619E+01	-4.35185092E+01	-8.82964130E+01	-5.30116896E+01	-4.16669906E+01	
-1.75284000E+02	-3.15791617E+01	-4.23413529E+01	-4.33773438E+01	-8.82826221E+01	-5.30334839E+01	-4.16661256E+01	
-1.75248000E+02	-3.16155880E+01	-4.23572698E+01	-4.32373060E+01	-8.82687416E+01	-5.30553107E+01	-4.16652655E+01	
-1.75212000E+02	-3.16520586E+01	-4.23732486E+01	-4.30983664E+01	-8.82547606E+01	-5.30771670E+01	-4.16644120E+01	
-1.75176000E+02	-3.16885492E+01	-4.23892357E+01	-4.29605411E+01	-8.82406668E+01	-5.30990501E+01	-4.16635665E+01	
