Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.80000000E+02	-3.47244734E+01	-3.68287486E+01	-8.78539178E+01	-1.00655376E+02	-7.67102273E+01	-6.87102565E+01	
-1.79964000E+02	-3.47653179E+01	-3.68212200E+01	-8.90809085E+01	-1.00663255E+02	-7.67274070E+01	-6.87083033E+01	
-1.79928000E+02	-3.48062606E+01	-3.68136945E+01	-9.03706382E+01	-1.00671056E+02	-7.67446104E+01	-6.87063547E+01	
-1.79892000E+02	-3.48472971E+01	-3.68061804E+01	-9.17142291E+01	-1.00678771E+02	-7.67618350E+01	-6.87044128E+01	
-1.79856000E+02	-3.48884234E+01	-3.67986724E+01	-9.30884310E+01	-1.00686412E+02	-7.67790742E+01	-6.87024734E+01	
-1.79820000E+02	-3.49296365E+01	-3.67911704E+01	-9.44468345E+01	-1.00693969E+02	-7.67963375E+01	-6.87005409E+01	
-1.79784000E+02	-3.49709388E+01	-3.67836807E+01	-9.57085384E+01	-1.00701433E+02	-7.68136234E+01	-6.86986142E+01	
-1.79748000E+02	-3.50123187E+01	-3.67761953E+01	-9.67593409E+01	-1.00708820E+02	-7.68309296E+01	-6.86966982E+01	
-1.79712000E+02	-3.50538020E+01	-3.67687195E+01	-9.74827006E+01	-1.00716127E+02	-7.68482568E+01	-6.86947842E+01	
-1.79676000E+02	-3.50953682E+01	-3.67612468E+01	-9.78213032E+01	-1.00723345E+02	-7.68656076E+01	-6.86928799E+01	
-1.79640000E+02	-3.51370316E+01	-3.67537857E+01	-9.78153024E+01	-1.00730479E+02	-7.68829795E+01	-6.86909812E+01	
-1.79604000E+02	-3.51787820E+01	-3.67463307E+01	-9.75716329E+01	-1.00737524E+02	-7.69003722E+01	-6.86890870E+01	
-1.79568000E+02	-3.52206090E+01	-3.67388830E+01	-9.72002575E+01	-1.00744488E+02	-7.69177891E+01	-6.86872016E+01	
-1.79532000E+02	-3.52625423E+01	-3.67314438E+01	-9.67772069E+01	-1.00751368E+02	-7.69352244E+01	-6.86853195E+01	
-1.79496000E+02	-3.53045477E+01	-3.67240117E+01	-9.63402305E+01	-1.00758162E+02	-7.69526831E+01	-6.86834449E+01	
-1.79460000E+02	-3.53466728E+01	-3.67165828E+01	-9.58982483E+01	-1.00764873E+02	-7.69701629E+01	-6.86815778E+01	
-1.79424000E+02	-3.53888745E+01	-3.67091677E+01	-9.54418059E+01	-1.00771492E+02	-7.69876643E+01	-6.86797164E+01	
