Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.80000000E+02	-4.05931435E+01	-5.13164715E+01	-7.70409570E+01	-9.22842335E+01	-6.36440315E+01	-5.51227193E+01	
-1.79964000E+02	-4.05950716E+01	-5.13139065E+01	-7.71999105E+01	-9.22881521E+01	-6.36540245E+01	-5.51217919E+01	
-1.79928000E+02	-4.05971304E+01	-5.13113113E+01	-7.73560288E+01	-9.22920544E+01	-6.36640294E+01	-5.51208682E+01	
-1.79892000E+02	-4.05993315E+01	-5.13087939E+01	-7.75087618E+01	-9.22959366E+01	-6.36740445E+01	-5.51199498E+01	
-1.79856000E+02	-4.06016520E+01	-5.13062894E+01	-7.76575130E+01	-9.22998070E+01	-6.36840661E+01	-5.51190299E+01	
-1.79820000E+02	-4.06040566E+01	-5.13038019E+01	-7.78017236E+01	-9.23036580E+01	-6.36941026E+01	-5.51181206E+01	
-1.79784000E+02	-4.06066084E+01	-5.13013394E+01	-7.79407236E+01	-9.23074927E+01	-6.37041531E+01	-5.51172234E+01	
-1.79748000E+02	-4.06092765E+01	-5.12989069E+01	-7.80738201E+01	-9.23113107E+01	-6.37142068E+01	-5.51163224E+01	
-1.79712000E+02	-4.06120865E+01	-5.12964799E+01	-7.82003927E+01	-9.23151089E+01	-6.37242798E+01	-5.51154271E+01	
-1.79676000E+02	-4.06149918E+01	-5.12940904E+01	-7.83196873E+01	-9.23188893E+01	-6.37343578E+01	-5.51145301E+01	
-1.79640000E+02	-4.06180268E+01	-5.12917690E+01	-7.84309891E+01	-9.23226551E+01	-6.37444569E+01	-5.51136453E+01	
-1.79604000E+02	-4.06211916E+01	-5.12894368E+01	-7.85336156E+01	-9.23263933E+01	-6.37545623E+01	-5.51127568E+01	
-1.79568000E+02	-4.06244743E+01	-5.12871238E+01	-7.86268555E+01	-9.23301205E+01	-6.37646793E+01	-5.51118832E+01	
-1.79532000E+02	-4.06278642E+01	-5.12848530E+01	-7.87100367E+01	-9.23338263E+01	-6.37747983E+01	-5.51110093E+01	
